publishedAt,comment,sentiment_label
2025-01-24 00:58:52+00:00,"Let me get this straight... So, Nvidia says we should want the 5090 because we get 25-30% more performance while consuming 36% more power, with a tiny chance at the the privilege to pay just 25% more than when compared to the 4090 launch?   It's been almost 2.5 years since the 4090 and in that time Nvidia essentially gives a bigger die with 33% more of the same 4090 GPU cores another 33% more slightly faster VRAM, basically 33% more 4090 for 25-30% more performance and more fake/inferred frames?   Nvidia didn't innovate or improve the GPU hardware one bit, every added capability or real generational improvement is the AI specific hardware, they took a bit more of their other Enterprise AI tech and bolted them on, switched to the latest Gen VRAM, jacked up the price and tells us we'll take what they give us and we'll like it.   Seriously, the comments about this being a 4090 Ti are really quite accurate. This is little more than a 4090 with some more cores and newer VRAM which Nvidia had little to do with outside of deciding to use it.   If this isn't proof that Nvidia is done with gaming GPUs then I don't know what else to tell you. Why waste time and resources on the consumer gaming GPU products when the same Blackwell silicon can be used in enterprise AI solutions and results in many times higher profit margins than when sold in products for gamers?",Neutral
2025-01-24 02:07:54+00:00,"I'll be honest, these tech videos don't really make sense to me but I still enjoyed these. I'm learning little by little with each video. As well this is the first time I see Oliver Cao in a video, but he talks like he's been doing these videos for years.",Positive
2025-01-24 02:56:26+00:00,21:02 conclusion of the video.,Neutral
2025-01-24 03:52:28+00:00,"While a 33% uplift is quite lackluster vs the 56% uplift we had going from the 3090 to the 4090, since the FPS numbers are getting so high, less of a % increase is needed for a huge jump. Example being if the 3090 got 100FPS and the 4090 got 156FPS then the 5090 would get around 207 FPS. But despite the fact that there was only a 33% increase for the 5090, all scenarios had an FPS jump of around 50",Neutral
2025-01-24 03:53:06+00:00,~20-30% more REAL frames on average for like 30% more power usage isn't great...  The 4090 was like ~80-90% more for the same power as a 3090ti.,Negative
2025-01-24 05:54:17+00:00,"I love that all the writers had a bit to cover as part of the review. But my favorite by far is that Alex just has a hammer for some reason? Perfect, never change.",Positive
2025-01-24 08:23:19+00:00,"4090 was never stupid, it was 100% faster than the gen before it for the same price. 5090 is 30% faster for 50% more cost (Over 100% for 3rd party cards). This is not a gaming card, it's an AI card.",Positive
2025-01-24 12:51:54+00:00,RTX 5090 motivated me to use AI instead of raw hard work for my school.,Positive
2025-01-24 13:04:58+00:00,not like most of us will every have but cool i guess,Positive
2025-01-24 13:05:22+00:00,My 980ti is so old its not on charts anymore😂,Negative
2025-01-24 13:06:15+00:00,"Seems like Nvidia (and I assume other GPU manufacturers) have hit the limit of what they can do with actual hardware that they have to now rely on generated frames. Just my personal opinion (from someone who doesn't game that much at all, and when done only at 1080p), but I don't. want to have generated frames, I want to have actual frames.",Negative
2025-01-24 13:09:09+00:00,RTX 5090 is way beyond for gaming its an investment for future for AI,Positive
2025-01-24 13:09:36+00:00,5080 review please. Something that might be relevant at least for a small percentage of normal people.,Positive
2025-01-24 13:11:58+00:00,This card costs twice as much as my PC and consumes almost as much power... yay?,Negative
2025-01-24 13:12:49+00:00,"6:06 Missed a perfect chance to reference ""Pam"" from the office. sad",Negative
2025-01-24 13:23:17+00:00,All this just makes me think the 5090 is just a cash grab and anyone who was saying oh why get a 4070-80-90 when the 50s are coming out there so much better yet all the 5090 dose is create fake frames with ai and rely on ddls and create input lag,Negative
2025-01-24 13:27:26+00:00,The cake is a lie!,Negative
2025-01-24 13:28:40+00:00,Me watching this knowing I can never own this kind of pc specs :'),Neutral
2025-01-24 13:29:42+00:00,LOL the BOOMS 😂,Positive
2025-01-24 13:30:19+00:00,Wait till devs working on ue5 churn out something that looks out of 2009 and brings the 5090 down to 47 fps with all the frame gen doodads turned on,Neutral
2025-01-24 13:30:20+00:00,Me watching this running an RTX 1050ti with an i7-7700 😅😢,Neutral
2025-01-24 13:35:12+00:00,5090 is 4090 + + 👀 SUS. If the 5090 was 30% faster with the 4090 power draw or lower then i would say its a win. This is not a win. Just gonna add a bigger turbo to my 4090 and go zoom zoom,Neutral
2025-01-24 13:36:11+00:00,"damn what a technical review I almost didnt understand it, thanks for the explanations.",Negative
2025-01-24 13:37:40+00:00,"0:14, Legit..... Is today's editor rocking... RESOLVE?!? I thought LTT was still trying to replace adobe, but i guess it is 2025, my brain is still stuck in '20-'22.",Negative
2025-01-24 13:38:16+00:00,Next week will be the 6090!!! Wow,Positive
2025-01-24 13:40:35+00:00,"I'm thinking of buying a MacBook Pro M4 Max, and I'm also considering building a PC (with a 5090). I'll mostly use the Mac for AI and machine learning tasks, as well as running local LLMs, but I'm also thinking of buying a PC to get a bit more power and for some gaming. Can someone tell me if I'm making the right choice or if I'm just being completely stupid?",Neutral
2025-01-24 13:48:07+00:00,Why is he holding a hammer? 😂,Neutral
2025-01-24 13:48:25+00:00,Crazy how my whole PC is worth 1/8 or 1/7 of that single GPU 😅,Positive
2025-01-24 13:49:56+00:00,"2k$ American.  6k$ Canadian...... a damn 3080 is 2,500$ damn taxes and good health care 😡",Negative
2025-01-24 13:50:09+00:00,Predictive. Analitic. Machine.  Nvidia is a fallout fan affter all.,Neutral
2025-01-24 13:50:15+00:00,Paid advertising is my favorite review,Positive
2025-01-24 13:50:38+00:00,this 5090 is like 4090 ti,Neutral
2025-01-24 13:53:50+00:00,Just looks like more people misspending money not helping the issue with these companies and are just promoting it.  Just cause we got it doesn’t mean it’s worth it,Negative
2025-01-24 13:55:56+00:00,"Wrong info showed in the encoding of PAM3 at 6:33. Each level (""trit"" 1, 0, -1) is not translated to two bin bits. You can see you don't represent ""11"" for example. Instead, you use trit symbols to encode the bin bits, for example, trit level 1 then 1 again translates to bin 111. In reality, you use more symbols for a more efficient encoding - 7 trits to 11 bits.",Negative
2025-01-24 13:57:11+00:00,"sums up the comment section: yes, the series is dissapointing no, this much hate is not nessecary",Negative
2025-01-24 13:58:24+00:00,all this video does is make me happy with my 7900xtx,Positive
2025-01-24 13:59:05+00:00,"Surely no one is gonna buy a GPU at that price point, right?   ... right??",Negative
2025-01-24 13:59:53+00:00,"Well color me shocked, that's actually the most balanced review I've seen of the 5090 so far... and it's from LTT. That wasn't on my bingo card. Seriously, respect. Felt pretty upbeat, negatives listed, positives listed, was waiting for the end rant which always gets a bit cringy, and you happily surprised me by not having one at all. You're going to catch some hate for that, but honestly, as someone who's heard the death to Nvidia rants for almost a decade now, was nice to not have one here.",Positive
2025-01-24 14:00:25+00:00,I would need to sell 2 of my current setups to buy this 💀,Negative
2025-01-24 14:01:26+00:00,Why is NOBODY talking about the costco guys reference😭😭😭😭,Negative
2025-01-24 14:02:37+00:00,So its a bad series? I didnt understand most of the stuff apart from squarespace and that it has 32gb ram but its not that powerful for ai stuff compared to non consumer level gpus? Even though it has more focus on ai? I need to stop trying to understand tech now i think i am a simple man i understand simple language 😭😭😭 anyway i hope the 5000 series does bad so prices fall and we get better 6000 series yayy,Negative
2025-01-24 14:02:45+00:00,are you warming up your test monitor for your LDAT test?  A cold monitor might have given slightly delayed results for MFG off?,Neutral
2025-01-24 14:04:26+00:00,18:01 So lower is better ? A 2080ti is better than the 4090 ? Damn i thought they were professionals,Negative
2025-01-24 14:07:23+00:00,"No idea what 3/4 ers of this video means,  are plays games good, 20-30%increase. Big fake frame increase if supported. Cool. Can it play crisis? Will fake frames fix tarkov?",Neutral
2025-01-24 14:09:56+00:00,Contender for the most soy LTT thumbnail ever. And that bar is extremely high.,Positive
2025-01-24 14:10:16+00:00,"i like playing organic, true fps, and the 5090 with true fps doesn't feel that much of an upgrade, its all new tech an all cool, but choose reality",Positive
2025-01-24 14:12:37+00:00,Why is he holding a hammer? 4:56,Neutral
2025-01-24 14:13:09+00:00,"MAX of 610W? Holy S%& Its a monster! The Power Supply on my PC now its 550W Lol.  Ryzen 3300X, RTX 3050 and 16GB Ram.",Positive
2025-01-24 14:14:45+00:00,"Bruh, why is Alex holding a hammer in every shot? I missed something somewhere, haha 😂",Neutral
2025-01-24 14:17:40+00:00,"So it is again a generational improvement, not some graphical revolution. Just like every gpu launch in history. And generational increase in price. All of these is ok, it’s just not worth selling 4090 to get 5090 unless you have money to spend and nowhere to spend it. You will for example benefit greatly if you go from 3070 to 5080, you will not if you go 4080 to 5080.",Neutral
2025-01-24 14:19:07+00:00,dennis is the best at the sponser talk blud got me lauging,Positive
2025-01-24 14:21:30+00:00,The king of cringe thumbnails,Neutral
2025-01-24 14:22:15+00:00,Can't wait for GIGA GEOMETRY,Positive
2025-01-24 14:22:39+00:00,the RTX 5090 gets 5 big BOOMS!!!!,Positive
2025-01-24 14:25:44+00:00,It's a scam😂,Negative
2025-01-24 14:28:04+00:00,"Frame generation always creates artifacts in my experience. In fast movement, you can always see it and it really is noticable. Only in reeeealy slow movements it’s ok. But what game do you know that only has slow movement? It would be a pretty boring game. Don’t know if MFG makes artifacts worse or better but for me FG is kinda not worth it. If you have 80+ frames, you don’t want 100 frames but full of artifacts. If you have 45 frames, it will stutter sometimes and will have even more artifacts just to get to 60. Still not worth it.",Negative
2025-01-24 14:29:44+00:00,"Just not worth it over a 4090 then, unless you're really into AI stuff.",Negative
2025-01-24 14:31:21+00:00,"From 300 cpu that could play everything on max, we get to these greedy mfs in 2025 to 2000€ …. Edit: Can’t get games to run at 60 fps neither? And it came after these new games. These companies are shameless.",Negative
2025-01-24 14:32:19+00:00,"""The RTX5090 is a $2000 fuck you, gamers machine.""",Negative
2025-01-24 14:32:30+00:00,"It'd be great to see someone, anyone, benchmark these cards (or any really) in Topaz Video AI etc.",Positive
2025-01-24 14:34:12+00:00,"This is the same as ai at ces, except this time you have to count the number of times they say frame gen.",Neutral
2025-01-24 14:35:46+00:00,the boom meme even got to the unc linus smh,Neutral
2025-01-24 14:36:59+00:00,THat gpu costs over double my whole setup,Negative
2025-01-24 14:37:48+00:00,Would only consider the 5070 tbh,Neutral
2025-01-24 14:38:11+00:00,"I found this video hard to watch, changing presenters every 2 minutes interrupts the flow. Different speaking styles, speed, etc. It's just annoying.",Negative
2025-01-24 14:41:46+00:00,Of course my 1080 ti can’t run last of us 😔,Negative
2025-01-24 14:44:04+00:00,dont like this comment,Negative
2025-01-24 14:48:57+00:00,This should have been tested with the 9800x3d.,Neutral
2025-01-24 14:49:39+00:00,22:50 I love editor 13  His editing style is really unique,Positive
2025-01-24 14:50:08+00:00,I might buy this 20 years later,Positive
2025-01-24 14:50:28+00:00,1440p on 5090. who cares. Its a 4K Card,Neutral
2025-01-24 14:50:33+00:00,That one guy is cringe.,Negative
2025-01-24 14:50:48+00:00,"Well,won’t frame generation, and the new multi frame generation  give you screen tearing?? you can’t have frame generation with vertical synchronization so you’re looking at a very expensive monitor, probably as expensive as the GPU to be able to not have screen tearing",Negative
2025-01-24 14:52:37+00:00,Is some of the new frame gen technology will be added to 40?,Neutral
2025-01-24 14:56:22+00:00,let's all skip this generation so Nvidia lowers the prices.,Neutral
2025-01-24 14:56:38+00:00,"Ah yes, can't wait for the ultimate graphics smear - TAA that takes data from multiple generated frames.",Positive
2025-01-24 14:59:20+00:00,this flamboyant jazz hands presentation style was really not what i was looking for when watching this review.,Negative
2025-01-24 15:01:13+00:00,Cant wait to own on of these in seven years.,Positive
2025-01-24 15:03:32+00:00,this video made my pc start smoking,Negative
2025-01-24 15:06:03+00:00,"Everyone was hating on fake frames, but then here we go, another great generational performance increase, on par with the 4090 performance gap, and yet with dlss 4 you can get even more frames, and people are still mad. Still not as bad as intel, still on top. NVIDIA expensive as fuck but I'll still buy, because I can make it and I want the best performance I can get",Positive
2025-01-24 15:07:18+00:00,"How, when did you guys bought it",Neutral
2025-01-24 15:07:31+00:00,Who uses onnx to bench mark AI performance?  Who uses onnx at all?,Neutral
2025-01-24 15:08:30+00:00,can we get back to games being optimized?,Neutral
2025-01-24 15:08:41+00:00,Waste of money,Negative
2025-01-24 15:09:04+00:00,where is 5070 in the benchmark test guys,Neutral
2025-01-24 15:09:49+00:00,that first sponsor segment was actually good,Positive
2025-01-24 15:11:59+00:00,I see… no pixels will be real in 10 years,Negative
2025-01-24 15:19:24+00:00,so it's a scam?,Negative
2025-01-24 15:23:43+00:00,Oh em geeeeee these 5090 cards are off… the charts.. 💅,Positive
2025-01-24 15:23:59+00:00,Not worth 2000$ the end,Negative
2025-01-24 15:26:07+00:00,"Noone cares about their new old DLSS nonsense. If it had no noise, I'd be interested. As it is, it's garbage.",Negative
2025-01-24 15:27:31+00:00,"Those annoying, hard to dismiss will make me never ever buy any of your products.",Negative
2025-01-24 15:31:28+00:00,Just buy a PC handheld at this point. The Legion Go 2 will cost at most half a 5090 (not to mention the cost of a 4k 144Hz Oled VRR display).,Neutral
2025-01-24 15:32:48+00:00,Yeah this over the top gay dude gotta go dawg.,Negative
2025-01-24 15:36:54+00:00,"Hi, how are you, there are some youtubers who have integrated the ""audio translation"" option into their YouTube settings when you speak like -Bitwit -JayzTwoCents -Paul's Hardware -KitGuruTech your articles are interesting unfortunately the subtitles are a pain because I only understand French :(  Thank you for your understanding",Positive
2025-01-24 15:38:18+00:00,Is it gonna help anyone with anything? Or do we just like numbers,Neutral
2025-01-24 15:39:06+00:00,"5:02 it's mean make developer lazy to optimize the game and depends on ""ai""",Negative
2025-01-24 15:45:32+00:00,20 fps more is not a generational improvement worth that much money,Negative
2025-01-24 15:48:09+00:00,"I loved this style. the constant hopping of presenters made the data way easier to follow. i know it might not make sense for smaller videos, but for data-dense videos like product launches, i hope this style is used again in the future",Positive
2025-01-24 15:48:43+00:00,Shoudlv'e added the 5070 in the charts,Neutral
2025-01-24 15:49:18+00:00,@14:17 look at the trees,Neutral
2025-01-24 15:49:30+00:00,"I'm curious though, could the in-between frames get more accurate as AI gets better? Like a feel like it could drastically improve over the span of two ish years with US's stargate funding also.",Positive
2025-01-24 15:51:02+00:00,"Waiting till the 6000 series, at the very least",Neutral
2025-01-24 15:53:06+00:00,I've still got a Titan X in my rig and I haven't played any games that made me think I should switch. Guess I'll wait for the 6090.,Neutral
2025-01-24 15:55:19+00:00,Think I’ll sit on my 3090 then and wait for another couple of years!,Neutral
2025-01-24 16:00:16+00:00,Love the guy who talked about AI benchmarks! Super dynamic and great to listen to.,Positive
