publishedAt,comment,sentiment_label
2025-01-06 23:00:43-05:00,5070 will only match 4090 after all the frame gen and upscaling is turned to max. Don’t think you’re getting 4090 raw performance for $549.,Neutral
2025-01-06 23:07:02-05:00,Thank God the greedy bastards didn't charge $1500 for a 5080,Negative
2025-01-06 23:08:04-05:00,"The 5080 Ti 24 GB is going to be crazy, when they drop it in 8-10 months.",Positive
2025-01-06 23:08:10-05:00,Thats a lot of power to play Minecraft and Fortnite.,Positive
2025-01-06 23:08:27-05:00,Notice how he couldn’t even make himself say the price of the 5090,Neutral
2025-01-06 23:09:14-05:00,bro even his jacket has RTX on,Neutral
2025-01-06 23:13:49-05:00,Jensen Huang always dresses like he's the villain in a cyberpunk movie,Negative
2025-01-06 23:15:13-05:00,"Jensen: ""So this is a RTX 4090. Yes, I know many of you have one..."" me with my RTX 4070 crying like the peasant I am 🥲",Neutral
2025-01-06 23:16:21-05:00,It’s a mechanical miracle! It has two fans!  “My 6900xt laughing with three fans”  For regular consumers it was a 13 minute showcase. The rest is a showcase for giant corporations. We’re on track to a cyberpunk future.,Positive
2025-01-06 23:16:52-05:00,Wait... How does 8:17 show 4000 AI TOPS but 11:53 give the 5090 only 3400? Are they really expecting to have to disable 15% of the die on a 5090?,Neutral
2025-01-06 23:17:14-05:00,The price of 5080 isn't as bad as a lot were expecting.,Positive
2025-01-06 23:19:05-05:00,Something tells me the power is equivalent only when using dlss4… the wording is what makes me think this. 5070 = 4090 in fact he says it when he grabs the lab top,Neutral
2025-01-06 23:21:57-05:00,I wonder how much will the 5090 oc from GeForce republic of gamers,Neutral
2025-01-06 23:26:16-05:00,"The predictive AI is so good, it made the beginning of this video play twice.",Positive
2025-01-06 23:32:41-05:00,10:37 how out of touch is this guy with reality of the world? Living in his pretend imaginary graphics where people just have 10k PC...,Negative
2025-01-06 23:35:39-05:00,Let's be real. When he compares a 5070 to a 4090. That 5070 will need DLSS and Frame Gen turned on. No resolution was mentioned as well.....just saying.,Neutral
2025-01-06 23:37:06-05:00,"If China gets complete, unabated control of those Taiwanese semiconductor fabs, we are doomed. This is why I support TSMC building factories in America, even if they are hiring Taiwanese immigrants (some of them experts in what is a very, very complex field). At least the plant is here on American soil, instead of within the grasp of China. This is serious.",Neutral
2025-01-06 23:42:24-05:00,Im still on the 980 ti guys...this is going to be a massive upgrade for me,Positive
2025-01-06 23:43:51-05:00,Can't wait to plug in a 5090 to load slightly more complex models in VRChat,Positive
2025-01-06 23:44:02-05:00,Taxes gon hit hard 😭😭,Negative
2025-01-06 23:45:14-05:00,"What a joke. Multi-frame generation??? Man I sure can't wait to have the only way to play a game be with 3/4 of my frames being AI generated and the one real one at half the resolution, only for it to still have the response times of 15-20 FPS",Negative
2025-01-06 23:45:34-05:00,The worst thing is we never got a game with the graphics they show .,Negative
2025-01-06 23:45:35-05:00,I cant wait for my 5090 and the raster benchmarks.,Positive
2025-01-06 23:48:01-05:00,Base price for the 5090 is $1999 until ASUS gets ahold of it and it will be closer to $2999,Neutral
2025-01-06 23:48:09-05:00,This might be the year my 1080ti retires,Neutral
2025-01-06 23:48:34-05:00,Seen your video and bought XAI508F yesterday... it's up %18.5 today. Talk about timing.... Thanks!,Positive
2025-01-06 23:49:30-05:00,"It should be illegal for companies to market fake frames as performance uplift. The 5090 is only around 40% faster than 4090 with RT and without frame generation. Assuming 5000 series RT is stronger, that means the raw raster performance uplift is even lower. Judging by how 5090 has way more cores and way higher TDP, nVidia is literally just brute forcing its GPU for those gains with little to no efficiency improvements. Most of the new architectural designs are dedicated to improving AI performance, to bring you more fake frames.",Negative
2025-01-06 23:52:00-05:00,most people didn't notice that the jacket is generated real-time with text-to-video,Neutral
2025-01-06 23:52:59-05:00,Imagine all the people that bought the 4090 in the last 2 months? Lmao I know they are pissed!!,Negative
2025-01-06 23:56:27-05:00,For the 60 series an armadillo will show up for the presentation at CES.,Neutral
2025-01-06 23:57:09-05:00,"Wait, did it not say, in the first spec graphic that it had 4000 AI TOPS and in the pricing graphic the 5090 ""only"" has 3400 TOPS? Where did the extra 600 TOPS go?",Neutral
2025-01-07 00:00:34-05:00,It's so shady they're saying that RTX 5070 matches 4090.,Negative
2025-01-07 00:02:06-05:00,Bruh why they getting more expensive and more expensive,Negative
2025-01-07 00:02:44-05:00,"there's literally no discernable change on the DLSS example at 1:32, what am I looking at?",Negative
2025-01-07 00:04:45-05:00,So it is cool that AI can create freames. But did thedy also solve the latency issue? Frame generation for Gameplay felt pretty bad due to the latency issue,Negative
2025-01-07 00:06:59-05:00,11:44 16 GB vram at $1000 in 2025 is diabolical,Negative
2025-01-07 00:07:42-05:00,"If I don't have to pay for my car, my mortgage for the house, groceries and clothing for my kids.  I can get one of these RTX 5090.",Neutral
2025-01-07 00:10:04-05:00,GPUs getting exponentially more powerful only means game devs can get more sloppy with their game optimization,Neutral
2025-01-07 00:16:22-05:00,"That extra $500 price increase is just for the new 'Blackwell' keyword they added to the name, and there’s no way the 5070 is as good as the 4090.",Negative
2025-01-07 00:21:45-05:00,13:25 all that money but can’t change a fire detector,Negative
2025-01-07 00:28:27-05:00,It's a presentation about high fidelity graphics and the video is only 1080p at the time of writing...,Neutral
2025-01-07 00:30:41-05:00,"5:35 he definitely could've worded this better, it sounded like they literally only render 2 pixels",Negative
2025-01-07 00:32:17-05:00,Should I get the 5070 when it comes out or the 4070 super?,Neutral
2025-01-07 00:37:28-05:00,"After 20 years gaming on PC, I’m out. This shit is too god damn rich for my blood now. And don’t start with the whole “it’s still a cheap hobby” BS",Negative
2025-01-07 00:38:34-05:00,"Not gonna lie, that jacket is next level of CEO performance.",Positive
2025-01-07 00:38:53-05:00,"5070 could be a win, right?",Positive
2025-01-07 00:44:33-05:00,The RTX 6070 8 GB will run games at 10fps 8k but thanks to the hyper super multi frame generation we will get 500 fps,Positive
2025-01-07 00:48:21-05:00,It has 2 fans. IT HAS 2 FANS! I am literally... blown away!,Positive
2025-01-07 01:03:45-05:00,We just want cards with faster raw rasterization. Not AI adding 5ms delay to every god damn frame.,Negative
2025-01-07 01:10:59-05:00,7:07 they recorded the real sound for this one,Neutral
2025-01-07 01:13:23-05:00,RTX 5070 price will be Miracle,Neutral
2025-01-07 01:16:08-05:00,so basically the 140 fps shown is actually just 35 fps since the GPU is predicting/generating 4 frames ahead and not actually using raw power,Neutral
2025-01-07 01:20:26-05:00,11:18 you can see all the 4090 owner's disappointment to their money decisions,Negative
2025-01-07 01:22:07-05:00,I love watching graphics demonstrations through a 1080p video...,Positive
2025-01-07 01:27:50-05:00,I’m just waiting for the first reviewer to turn DLSS off… seems they put 100% of their effort in AI tensor stuff.,Negative
2025-01-07 01:30:09-05:00,Little known fact. This keynote is a fully AI generated hallucination.,Neutral
2025-01-07 01:37:05-05:00,I’ve heard word AI in this video more than in whole last year.,Neutral
2025-01-07 01:46:05-05:00,11:41 - well that debunks the rumors that every 50 series GPU would be above $2000 or whatever.,Neutral
2025-01-07 01:48:59-05:00,Am buying ur rtx 4090 for 300$ if somone is selling,Neutral
2025-01-07 01:49:57-05:00,"from a country where nuclear plant isn't available yet, how much electricity we need to power this thing ?",Negative
2025-01-07 01:52:12-05:00,"How is the 5070 that ""Cheap""",Neutral
2025-01-07 01:52:22-05:00,"Notices how many times he has mentioned ""AI"", he knows what their selling pt is!",Neutral
2025-01-07 02:00:46-05:00,Must be some error in editing... same clip repeated twice in the beginning...,Negative
2025-01-07 02:08:17-05:00,"Jokes aside, the 5080 could cost $700, like the late GTX 80-class cards, and still be marginally profitable.",Neutral
2025-01-07 02:20:33-05:00,These tech CEOs doing the same Steve Jobs routine like they’ve been trained by an AI,Neutral
2025-01-07 02:26:37-05:00,You called it weeks ago and XAI508F is already taking off. So glad I made it to this presale,Positive
2025-01-07 02:26:37-05:00,Where can i buy XAI508F??,Neutral
2025-01-07 02:26:39-05:00,XAI508F going parabolic this cycle 🚀🚀🚀🚀🚀,Neutral
2025-01-07 02:26:51-05:00,Depends on your financial situation you are correct as far as how much to invest into XAI508F. But the 200% deposit alone makes it worth while to go big.,Positive
2025-01-07 02:27:15-05:00,Good RTX 5090 2k most people wont buy I can actually obtain one :),Positive
2025-01-07 02:28:25-05:00,"Actually, there’s a lot we can do without AI and we’ve been doing it for years. Y’all just make up any excuse to put AI into everything.",Neutral
2025-01-07 02:28:27-05:00,549 bucks for 4090 performance!?,Negative
2025-01-07 02:29:06-05:00,5050 would cost 5050$?,Neutral
2025-01-07 02:30:42-05:00,Holy moly as someone not really up to date with the latest tech. Are we up to here already?!?! crazy,Negative
2025-01-07 02:31:04-05:00,it looks very blurry. not good,Negative
2025-01-07 02:31:50-05:00,"If his claims about 4090 performance on a 5070 turn out to not be marketing hyperbole, it's pretty much over for AMD because Intel and that B580 are going to dominate that sub $300 market and 5070 will mop up that $400 to $500 price range where AMD has at least been competitive.",Neutral
2025-01-07 02:32:13-05:00,Can we please get Foveated rendering with dynamic projection so we can actually use frame gen without such a huge penalty please?,Neutral
2025-01-07 02:32:56-05:00,Hopefully there’s gonna be an RTX 5050 ti which is gonna be much better than the current 4060. Make it happen Nvidia.,Positive
2025-01-07 02:32:59-05:00,"Oh come on! I`m still saving, to get 4090 Ti!",Neutral
2025-01-07 02:33:07-05:00,6:05 so he's basically saying all these shiny new graphics cards are not needed since AI takes a lot less computation and everything is pretrained on their servers? 🙃,Neutral
2025-01-07 02:35:00-05:00,Is it just me or did those ai materials look significantly worse than the base material? The fabric looked like it became extremely noisy.,Negative
2025-01-07 02:35:17-05:00,"They said the same last year, with the x2 performance, in real life it was better but not ""x2""",Neutral
2025-01-07 02:35:35-05:00,12:39 thermal throttling makes a lot of sense,Neutral
2025-01-07 02:37:27-05:00,I just bought an 4080 super 🥹😂,Positive
2025-01-07 02:37:37-05:00,Nvidia didn't sold me on buy day one. I hope when we start seeing reviews compare to the 4000s series  we can see how much power they have.,Neutral
2025-01-07 02:38:32-05:00,He's a salesman. Best not to get excited.  vRAM numbers not mentioned. RT core numbers not mentioned. DLSS core number not mentioned.  Whole presentation given in a blur of no facts or figures.,Negative
2025-01-07 02:39:07-05:00,4090 was 1600? Or is this new price ? I never seen it lower than 2000$ . 😮,Neutral
2025-01-07 02:39:21-05:00,yall guess who got the rtx 4090 5 days ago......,Neutral
2025-01-07 02:39:24-05:00,"so,they compute 2 pixels out of 33 milions or 2 millions out of 33? lol  ",Neutral
2025-01-07 02:39:43-05:00,Nvidia remembered that they have Gamers as costumers too haha,Neutral
2025-01-07 02:41:05-05:00,"The fact that this won't perform unless specific games have to implement dlss4 means that the ""5070 has 4090 performance"" statement is a lie.",Negative
2025-01-07 02:41:42-05:00,1:11 Anyone else think those blues looked better rendered without the RTX Neural Material?,Neutral
2025-01-07 02:41:51-05:00,The resale is about to be 4k 😂,Neutral
2025-01-07 02:42:05-05:00,5070... 4090 erformance... 579$... I can finally upgrade,Positive
2025-01-07 02:42:34-05:00,Where is rtx 5060,Neutral
2025-01-07 02:42:45-05:00,Morphius Jacket this is new era my Matrix friends,Neutral
2025-01-07 02:43:06-05:00,big ass company and u played the starting part twice,Negative
2025-01-07 02:43:59-05:00,"""your scientists were so preoccupied with whether or not they could, that they didn't stop and think to ask if they should""",Neutral
2025-01-07 02:44:26-05:00,😂 where is he finding a 4090 for 1599?? ..the 5090 is NOT going to be sold for 1999 bucks either.. also why did I just watch a re-run?,Negative
2025-01-07 02:44:38-05:00,Nvidia is powerhouse.,Positive
2025-01-07 02:45:40-05:00,More shit I can’t buy,Negative
2025-01-07 02:46:43-05:00,"RIP intel arc, we hardly knew ye.",Neutral
2025-01-07 02:47:04-05:00,Now the RTX 4070 will become  cheaper and I can finally upgrade from the RTX 3060.,Positive
2025-01-07 02:48:13-05:00,My consumerism blood is rising,Neutral
2025-01-07 02:48:18-05:00,His jacket is laced with gamers tears.,Negative
2025-01-07 02:48:37-05:00,How many vram in  5070 mobile (5070 laptop ) ?,Neutral
2025-01-07 02:49:12-05:00,"5070 as fast as 4090. I miss the days where that could actually be true. Clear message here, that sort of leap is not possible anyway, we are approaching the limit.",Negative
2025-01-07 02:49:24-05:00,"Can't wait for the compilation where he only says ""AI""",Positive
2025-01-07 02:50:24-05:00,He is wearing crocodile LEATHER JACKET… this is how much money he is making ..,Neutral
2025-01-07 02:52:46-05:00,so if the 5070 has 4090 power and the 5070 is only $590 that means the 4090 will  be a lower price since its last gen tec. lol lol Im JS.,Neutral
2025-01-07 02:53:13-05:00,"8gb vram 5070  has same performance as 24gb vram 4090 ? . sorry sir , i dont believe this lie .",Negative
2025-01-07 02:54:05-05:00,So many intel Kevins crying in the comments.,Negative
2025-01-07 02:56:00-05:00,Wow what a jacket,Positive
2025-01-07 02:56:40-05:00,really huge instant 2 minute replay,Neutral
2025-01-07 02:56:46-05:00,"aside from 5090s pricing, the rest of the gpus have a more reasonable pricing.",Positive
2025-01-07 02:56:57-05:00,The first GPU that is named after the price it will cost☠️,Neutral
2025-01-07 02:58:00-05:00,Why can't the existing 4090 use AI to also generate frames like this?,Neutral
2025-01-07 02:58:11-05:00,did they change something in the matrix?,Neutral
2025-01-07 02:59:21-05:00,Nobody cares about AI button    I   V,Negative
2025-01-07 02:59:25-05:00,so this means ai will be integrated into every gpu from now on,Neutral
2025-01-07 03:00:23-05:00,I dont know about that price? To good to be true,Neutral
2025-01-07 03:02:51-05:00,Yeah USD they are gonna be way over priced in AUD.,Negative
2025-01-07 03:05:16-05:00,"Cant afford a personal loan at the moment so going to give this a pass, will look at how AMD prices its cards before deciding.",Neutral
2025-01-07 03:07:04-05:00,Apple could never lol,Neutral
2025-01-07 03:07:44-05:00,"15:50 does he think we’re stupid or something?   “You cant do this without AI” - homie, you’ve been putting those GPU’s in laptops for years, what do you mean?",Negative
2025-01-07 03:08:58-05:00,Oh my Jensen is wearing a different jacket,Neutral
2025-01-07 03:09:03-05:00,Jensen just pissed off a whole lot of 4090 owners,Negative
2025-01-07 03:09:05-05:00,Whats the music track on the demo animation?,Neutral
2025-01-07 03:10:15-05:00,Na ill pass after 4090 go out probably switch to console in my system etc,Neutral
2025-01-07 03:10:54-05:00,imagine league of legends on these cards,Neutral
2025-01-07 03:11:11-05:00,Holy crap that 5070,Neutral
2025-01-07 03:13:41-05:00,Thank God .....they didn't charge $1500 for 5080 ...damn,Positive
2025-01-07 03:14:15-05:00,that jacket using raytracing,Neutral
2025-01-07 03:15:13-05:00,"graphic cards have become garbage phones now, they bring a new new each year.",Negative
2025-01-07 03:15:52-05:00,GeForce now act like Apple for real!,Positive
2025-01-07 03:16:33-05:00,AI is coming back to the future to compute your game at 250fps before you have played it so you don’t have to actually play anything.,Neutral
2025-01-07 03:17:06-05:00,Jesus his jacket is made from black crocodile. Those are rare.,Neutral
2025-01-07 03:19:39-05:00,"Dear biggest performer in the NASDAQ, pls lower the prices. Thx, the Gamers.",Neutral
2025-01-07 03:21:01-05:00,Wait what? Is it really gonna be $500 ?,Neutral
2025-01-07 03:21:18-05:00,I can't wait to play with this on a 1080p moniter 😩,Positive
2025-01-07 03:21:28-05:00,Am i the only one who doesn't like neural texture compression output quality compared to original,Negative
2025-01-07 03:22:17-05:00,"Price matters more, more then performance",Neutral
2025-01-07 03:22:20-05:00,"5070 will be on par with 4090 in specific situations, same as pigs can fly in a specific situation like if you put them on a plane",Neutral
2025-01-07 03:23:25-05:00,But can it run Crysis?,Neutral
2025-01-07 03:23:53-05:00,"New gpus will be expensive. Such a jacket costs $50,000",Negative
2025-01-07 03:25:18-05:00,Jensen's jacket has Ray Tracing now.,Neutral
2025-01-07 03:25:46-05:00,Just stick to the 40 series everyone this aint worth it....,Negative
2025-01-07 03:26:13-05:00,Gone are the days of rendering our games natively on pc what a shame...,Negative
2025-01-07 03:26:58-05:00,Look at him go in his little crocodile lether jacket... the dude is so incredibly out of touch. 🤣🤣🤣,Negative
2025-01-07 03:27:37-05:00,The jacket's raytrace samples are too low... it's flikering!,Negative
2025-01-07 03:27:49-05:00,1.8 tb of bandwidth is fuckn insane,Negative
2025-01-07 03:28:05-05:00,Nah this some black magic voodoo stuff right here,Negative
2025-01-07 03:28:54-05:00,The tech keeps improving. My wallet just cant keep up,Positive
2025-01-07 03:32:12-05:00,Yea boy. Finally I can play stalker 2 with stable 60 fps,Positive
2025-01-07 03:33:04-05:00,"2k makes that laptop seem like a good deal.   This is wack, remember building a whole pc around 2010 for under $600 with a 570ti",Negative
2025-01-07 03:34:00-05:00,I don't see any real progress here. This seems like just another way to sell more cards. NVIDIA needs to provide a truly advanced and well-developed GPU that can take us to the next level. All these new cards offering just a few extra FPS are really frustrating.,Negative
2025-01-07 03:34:41-05:00,"AHHH,,, MORE ENERGY CONSUMPTION AND MORE ELECTRICITY BILL... CONGRATS... NICE...",Positive
2025-01-07 03:34:49-05:00,Thst jacket hes wearing is epic.,Positive
2025-01-07 03:35:22-05:00,To be honest the 6000 series will be better,Neutral
2025-01-07 03:35:50-05:00,Apple company are now competitors to this,Negative
2025-01-07 03:37:04-05:00,oh Phugg off! $1999?! yeah that gator skin jacket is starting to make sense.,Positive
2025-01-07 03:37:42-05:00,"Glad i didn't get the Asus 4090 when i got the chance, specially with its $2200 average price, now i can get twice the performance at half the price with the 5080",Positive
2025-01-07 03:38:01-05:00,Its time to upgrade my beloved 1080ti,Positive
2025-01-07 03:39:33-05:00,His jacket representing Ray Tracing in real live 😅,Neutral
2025-01-07 03:40:12-05:00,No thanks looks the same as my 1650 ☠️💀,Negative
2025-01-07 03:40:45-05:00,Finally We Get to ready to GTA 6 😂,Positive
2025-01-07 03:41:00-05:00,"I don't like AI dude, give me raw performance without dlss bullshirt",Negative
2025-01-07 03:41:26-05:00,Why you always show DLSS on static scenes? Show how blurry it in dynamic and fast pace scenes instead,Neutral
2025-01-07 03:42:43-05:00,"Thanks to AI, we will not see significant increase of raw power in GPUs anymore.",Neutral
2025-01-07 03:43:19-05:00,"I guess that seals the deal for me, RX 7900XT here I come",Neutral
2025-01-07 03:44:01-05:00,"DLSS cannot work miracles Jensen. Games are eating more VRAM than ever and using upscaling and frame generation the base or real performance of games are ever more shit. So your 12GB card will rarely perform ""on par"" with a 24GB card on most scenarios even counting the fake frames of DLSS4.",Negative
2025-01-07 03:44:21-05:00,"I said this one and I'm saying again, I'm good with my RX 5500 XT 8gb playing retro games on linux and having the time of my life.",Positive
2025-01-07 03:44:29-05:00,We're so close to rtx 101020,Positive
2025-01-07 03:45:03-05:00,"""Rendered in real time on RTX Blackwell"" - Proceeds to show pre-rendered footage.",Neutral
2025-01-07 03:45:47-05:00,"Ok, you shrinked this huge videocard into a tiny notebook... But the videocard isn't actually big, it's a thin plate. What actually is huge is the radiator! How can this thin notebook dissolve such a great heat? What performance can you get when videochip will start to heat-throttle in 10 seconds of high performance. When will you start making different pci connection so that videocard could be placed separately from motherboard, having its own air intake and exhaust, like power box has now?",Neutral
2025-01-07 03:46:35-05:00,5:39 this absolutely blew my mind.,Negative
2025-01-07 03:47:15-05:00,Great❤,Positive
2025-01-07 03:47:24-05:00,"5070 with 4090 performance? Yeah, sure.........",Neutral
2025-01-07 03:47:27-05:00,Watch as console players use this GPU price as their argument against PC gamers lol.,Neutral
2025-01-07 03:47:30-05:00,"the 5080 price really surprised me. i can look past the bullshit 16gb at $1000 dollars. with the amd release being a bust, they could have gone way more.",Negative
2025-01-07 03:49:12-05:00,Nvidia has become too greedy,Negative
2025-01-07 03:49:45-05:00,"What a homely jacket, what are you trying to prove?? 😂",Neutral
2025-01-07 03:49:51-05:00,2000$ for a 5090 is off the charts,Neutral
2025-01-07 03:49:51-05:00,"No no no no no, 2000$ outrageous, stoopid consumers keep buying this stuff, I get they want the latest and greatest but it really isn't worth that much.",Negative
2025-01-07 03:50:20-05:00,"Let the games start coming out optimized as they should be, then we will buy a graphics card that costs a salary.",Neutral
2025-01-07 03:50:31-05:00,This is all amazing but it  wont help a bit if game devleopers  dont deliver on their promises !,Negative
2025-01-07 03:51:19-05:00,The new Witcher will probably need one of these GPUs 😂,Neutral
2025-01-07 03:51:20-05:00,I believe Nvidia is using AI to increase prices while we still buy,Neutral
2025-01-07 03:52:21-05:00,Still using my 1650 lol,Neutral
2025-01-07 03:54:12-05:00,"He talking so much about AI, if he still thinks we don't live in a simulation i believe it",Neutral
2025-01-07 03:54:55-05:00,Me watching this with my beloved RX570,Positive
2025-01-07 03:55:29-05:00,me watching this from my 1050 ti laptop 😅,Neutral
2025-01-07 03:55:44-05:00,5000series already sounds soulless,Negative
2025-01-07 03:56:16-05:00,Hope the momor doesn't overheat,Neutral
2025-01-07 03:57:07-05:00,i feel so damn old with a 3080ti now 😅,Negative
2025-01-07 03:58:29-05:00,Uploading a video about a high end next gen GPU in 2025 in 1080p is really next level.,Positive
2025-01-07 03:58:30-05:00,me who got a 4090 like 3 months ago.... well guess it's resell time 😂,Neutral
2025-01-07 03:58:34-05:00,So how much faster can it mine?,Neutral
2025-01-07 04:00:06-05:00,"""it's a miracle"" wtf?",Neutral
2025-01-07 04:00:37-05:00,"the alligator skin jacket is a bit much mate. we get it, you're fucking loaded",Negative
2025-01-07 04:00:44-05:00,What about the people who can afford budget GPU and when 5060 coming with 4080 performance?,Neutral
2025-01-07 04:01:00-05:00,"So, we're paying more for less? Instead of getting faster much cards like in the old days we're now getting slightly faster cards with better AI upscaling?",Neutral
2025-01-07 04:01:29-05:00,A shiny Jensen has appeared !,Positive
2025-01-07 04:02:19-05:00,i should have just waited for this instead of buying the legion pro 7i 4090😫😫😫,Negative
2025-01-07 04:03:16-05:00,yeah but can it run crisis.,Neutral
2025-01-07 04:03:28-05:00,"Idk what he's talking about, it's all just corpo talk",Neutral
2025-01-07 04:04:20-05:00,But can it run GTA6?😭  **PC Gamer waiting for 2027 release**,Neutral
2025-01-07 04:04:24-05:00,Did he use ai and ray tracing on his jacket? Cause It looks shiny.  Edit- Oh somebody already commented on it lol.,Positive
2025-01-07 04:05:52-05:00,What shit editing from IGN. Showed the same thing twice,Negative
2025-01-07 04:06:49-05:00,More money pluses more features  and more and more ai in the 50 series  gpu and 5060 at the start  will coat a lot and they will not  have 50 series  gpu for a affordable  price,Neutral
2025-01-07 04:08:37-05:00,"Nope, he is only wearing 2 pixels.",Neutral
2025-01-07 04:09:54-05:00,"Jensen's jacket has been upgraded using ray tracing technology, i mean, look that reflection and glossiness ! Ray traced black leather jacket ON baby ! Wohoo !",Positive
2025-01-07 04:09:58-05:00,honestly 1080p doesn’t seem to bother me,Neutral
2025-01-07 04:10:34-05:00,They're selling you the RTX5070 with the same rastetization performance of RTX4070 Ti with more AI cores for DLSS4 💀💀💀,Neutral
2025-01-07 04:11:54-05:00,What about the raster performance ?,Neutral
2025-01-07 04:12:54-05:00,At first I thought it was Lisa before he spoke. 😂,Neutral
2025-01-07 04:14:25-05:00,They bumped up the price of the 4090 before hand to play it against the price of the 5090. NGREEDYA is the one who should be ashamed. A 70 series shouldn't cost more than 400$ period.,Negative
2025-01-07 04:14:37-05:00,People are complaining about the fact that 5090 is 2000$ but no one is mentioning how they made a 4090 -> 5070 for 550$.  Not everyone has to own the best spec GPU it's priced reasonably.,Neutral
2025-01-07 04:15:41-05:00,"My one kidney left for 5090, Rip to myself 💀",Negative
2025-01-07 04:16:39-05:00,Does that mean the next playstation and xbox will get even stronger? Now the graphics cards are much cheaper?,Positive
2025-01-07 04:17:02-05:00,"Jesus, his jacket is evolving! Soon expect it to become sentient",Neutral
2025-01-07 04:17:19-05:00,We got GTA 6 slayying GPUs before GTA 6.,Neutral
2025-01-07 04:17:41-05:00,"funny how at 10:20 he says the 4090 it's the best invesetment you possibly make , and public starts laughing lmao",Positive
2025-01-07 04:18:10-05:00,13:24 Jensen almost gets eaten by an AI laptop.,Negative
2025-01-07 04:18:20-05:00,"Awkward moment at 10:30 where Jensen says $10k is our collective home computer budget. Joke or no, given the contentious increasing price it's pretty tone deaf",Negative
2025-01-07 04:18:46-05:00,"BTW I am calling BS on the description. the 50 series will only have 92B transistors? when 4090 has 76B,  when 3090 had only 28B (48 B less)???? The 50 series should have 110-120B They must be talking about the 5070 or something",Negative
2025-01-07 04:19:07-05:00,New game: take a shot of vodka everytime he says 'artificial intelligence',Neutral
2025-01-07 04:20:49-05:00,Graphics cards are like call of duty now.,Neutral
2025-01-07 04:22:31-05:00,"Don't see any meaningful difference between AI and non AI materials. Yes, some more detailes. But are they that important indeed?? Also, I'm so tired of hearing this AI word from everywhere.... Let me introduce AI tool, that removes all this AI content out from me",Negative
2025-01-07 04:22:48-05:00,Graphics is going back wards,Neutral
2025-01-07 04:23:28-05:00,The biggest price gouge I’ve ever seen. But I mean who is surprised…..I’ll wait.,Negative
2025-01-07 04:26:47-05:00,"2 grand for the 5090. Yeah, good one Nvidia.",Positive
2025-01-07 04:27:33-05:00,Ok what im actually very surprised the 4090 performance went down a thousand dollars,Negative
2025-01-07 04:27:51-05:00,new brick is coming out,Neutral
2025-01-07 04:28:07-05:00,"Ah yes, let's show off our new graphics at 1080p resolution video through youtube.......",Positive
2025-01-07 04:28:55-05:00,"I hate how this whole ai push is just going to make every game an ultra realistic blurry mess. I’ve just finished playing Dishonored and Ghost of Tsushima, some of the most visually pleasing games I’ve played yet, but now people just want to go ultra real without a single care for actual image quality",Negative
2025-01-07 04:29:52-05:00,"9:26 actually a good point from where to start the regulation of AI. My opinion is the following: we should only allow to use AI in those areas, that are accessible by AI only and human or other technologies, can not do that any other way. What do you think?",Positive
2025-01-07 04:30:34-05:00,the 5070 price tag is the response for the intel B580,Neutral
